name,street_address,address_locality,address_region,postal_code,telephone,website,ratings
Auberge du Dragon Rouge,8870 Rue Lajeunesse,Montréal,QC,H2M 1R6,514-418-5861,,rating 4.5
Restaurant Omma Quartier Des Arts,"51, rue Ontario O",Montréal,QC,H2X 1Y8,514-379-1183,/gourl/471f695b627d7169da41a0ccf95537cc8ca7a131?redirect=http%3A%2F%2Fwww.facebook.com%2F199472374269875,
Marconi,"45, avenue Mozart O",Montréal,QC,H2S 1C1,514-490-0777,/gourl/a5a1feb2322c5827ff48e28e81314731886b09b8?redirect=http%3A%2F%2Fmarconimontreal.com%2F,rating 2
Bis Ristorante,1229 rue de la Montagne,Montréal,QC,H3G 1Z2,514-866-3234,/gourl/2cffd57f2a23c49a34255954956044baf66d289f?redirect=http%3A%2F%2Fwww.bisristorante.com%2F,
Restaurant 9-4-10,"1909, av des Canadiens-de-Montreal",Montreal,QC,H3B 5E8,514-925-2582,,
Royal Sushi,"5011, av du parc",Montréal,QC,H2V 4E9,514-274-5497,/gourl/c5c1ac095fae00eee5c6581fd2f96e14142591aa?redirect=http%3A%2F%2Fwww.royalsushi.ca%2F,
Kinoya Bar à Tapas Japonais,4250 rue Saint-Denis,Montréal,QC,H2J 2K8,514-508-5200,/gourl/0ce2a1ec4560c4cc0ae29feb2302f0d5b1756ce8?redirect=http%3A%2F%2Fwww.bistro-kinoya.com%2F,rating 5
La Fonderie,964 rue Rachel E,Montréal,QC,H2J 2J3,514-524-2100,/gourl/f32d8fc8454c449d18c08110b56389c01029d297?redirect=http%3A%2F%2Flafonderie.ca%2F,rating 3
Restaurant O'Sushi,"7577, boul Newman",Lasalle,QC,H8N 1X3,514-366-5777,/gourl/41787bae7e8c4ff77c046fadcd6b080d51418fec?redirect=http%3A%2F%2Fwww.osushi.ca%2F,rating 4
Jardin Nelson,"407, Place Jacques-Cartier",Montréal,QC,H2Y 3B1,514-861-5731,/gourl/2ae0ea11205d07fdabf873e63d15bb1e3e277887?redirect=http%3A%2F%2Fwww.jardinnelson.com%2Fjardin-nelson.html,rating 4.5
Gus Restaurant,"38, rue Beaubien E",Montréal,QC,H2S 1P8,514-722-2175,/gourl/78ba6dd2f00e673b556799ea9326d49bb3f2d597?redirect=http%3A%2F%2Fwww.restaurantgus.com%2F,rating 5
Bocci Restaurant Bar Lounge,1756 av Dollard,Lasalle,QC,H8N 1T8,514-365-6519,,rating 5
Chez Lien,"6780, rue Sherbrooke E",Montréal,QC,H1N 1E1,514-252-9088,/gourl/e7f788ba2b50615a29ddef76dfe21cf681f4acc2?redirect=http%3A%2F%2Fwww.chez-lien.ca%2F,rating 4.5
Chez Lévêque,1030 Av Laurier,Outremont,QC,H2V 2K8,514-279-7355,,rating 4
Steak Frites St-Paul,"405, rue Saint-Antoine O",Montréal,QC,H2Z 2A3,514-878-3553,/gourl/3a05d276a9e25941ee6d6f066792c2680e0cb38a?redirect=https%3A%2F%2Fsteakfrites.ca%2Fnos-emplacements%2F,rating 4
The Keg Steakhouse & Bar,1 place Ville-Marie,Montréal,QC,H3B 2G2,514-868-1999,/gourl/90850c18f96bbfbcae1b0064c70b06425c0f231a?redirect=https%3A%2F%2Fkegsteakhouse.com%2F,rating 4.5
La Cage,SphèreTech 3450 Boulevard Cote-Vertu Ouest,Saint-Laurent,QC,H4R 1P8,514-332-2243,/gourl/b34156b3627e844a9583e843d1f638d9da6cc42a?redirect=http%3A%2F%2Fwww.cage.ca%2F,rating 4
Taco Bar,"5674, av de Monkland",Montréal,QC,H4A 1E4,514-669-9393,/gourl/8c58ea69f32f9a0a80e8236fce3dcb32e1233d92?redirect=http%3A%2F%2Fwww.taco-bar.ca%2F,
Ristorante Lucca,"12, rue Dante",Montréal,QC,H2S 1J5,514-278-6502,/gourl/82124e270942f1059b84a3fd19203c66806ac804?redirect=http%3A%2F%2Fwww.restaurantlucca.ca%2F,rating 4.5
La Cage,"150 Sainte-Catherine Ouest, local 201C",Montréal,QC,H5B 1B3,438-387-3030,/gourl/b34156b3627e844a9583e843d1f638d9da6cc42a?redirect=http%3A%2F%2Fwww.cage.ca%2F,
